Year,Month,Day,Weekday,Start Time,Event Name,Venue
2024,07,20,土,18:00,Re:ゼロから始める異世界生活 FILM CONCERT,TACHIKAWA STAGE GARDEN(立川ステージガーデン)
2024,07,06,土,18:00,TVアニメ「佐々木とピーちゃん」スペシャルイベント~佐々木とピーちゃんとイベント~夜の部,かつしかシンフォニーヒルズ モーツァルトホール
2024,05,26,日,14:00,【出演者変更】TVアニメ「陰の実力者になりたくて！ 2nd season」スペシャルイベント【昼の部】,松戸市民会館
2024,05,12,日,14:00,KING SUPER LIVE 2024 DAY2,Kアリーナ横浜
2024,05,11,土,16:00,KING SUPER LIVE 2024 DAY1,Kアリーナ横浜
2024,04,28,日,17:00,「五等分の花嫁 5th Anniversary EVENT in 横浜アリーナ」DAY2,横浜アリーナ
2024,03,23,土,15:15,AnimeJapan2024 NBCユニバーサル・エンターテイメントジャパンブース「『ご注文はうさぎですか？』TVアニメ10周年記念SPステージ」,東京ビッグサイト(東京国際展示場)
2024,03,23,土,12:20,AnimeJapan2024 BLUE STAGE『「あの花」「ここさけ」「空青」振り返り＆新作映画「ふれる。」トークステージ』,東京ビッグサイト(東京国際展示場)
2024,03,09,土,10:00,『恐竜超伝説 2 劇場版ダーウィンが来た！』 公開記念舞台挨拶 10：00の回,ユナイテッド・シネマ アクアシティお台場
2024,03,09,土,12:45,『恐竜超伝説 2 劇場版ダーウィンが来た！』 公開記念舞台挨拶 12：45の回,ユナイテッド・シネマ アクアシティお台場
2024,03,02,土,17:30,「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【愛知】,Niterra日本特殊陶業市民会館 フォレストホール
2024,02,10,土,17:30,「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【滋賀】,滋賀県立芸術劇場びわ湖ホール
2024,02,04,日,14:00,「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【埼玉】昼公演,大宮ソニックシティ 大ホール
2024,02,04,日,17:30,「いのりまち町民集会2024 -ACOUSTIC LIVE Wonder Caravan！-」【埼玉】夜公演,大宮ソニックシティ 大ホール
2024,01,20,土,14:30,『政宗くんのリベンジR』スペシャルイベント「～政宗くんと食欲の愛姫　ランチタイム～」（昼の部）,幕張国際研修センター 4Fシンポジウムホール
2024,01,20,土,18:30,『政宗くんのリベンジR』スペシャルイベント「～政宗くんと食欲の愛姫　ディナータイム～」（夜の部）,幕張国際研修センター 4Fシンポジウムホール
2024,01,14,日,12:20,劇場アニメ『青春ブタ野郎はランドセルガールの夢を見ない』ヒロイン舞台挨拶 12:20の回,ユナイテッド・シネマ豊洲
