Date(UTC),Time(UTC),Distance(km),Phase
1900/3/1,12:00,356702,New
1900/10/8,5:33,356915,Full
1901/4/18,20:53,357095,New
1901/11/25,15:53,356945,Full
1902/6/6,4:56,357232,New
1902/12/15,13:36,356758,Full
1903/7/24,11:30,357165,New
1904/2/2,0:13,356719,Full
1904/9/9,19:05,357182,New
1905/3/21,10:52,356868,Full
1905/10/28,4:12,356799,New
1906/5/8,19:12,356885,Full
1906/12/15,14:13,356744,New
1907/6/26,2:20,357154,Full
1908/2/2,1:32,356921,New
1908/8/12,9:39,356997,Full
1909/3/21,11:13,357056,New
1909/9/29,17:01,356752,Full
1910/4/10,8:35,357482,New
1910/11/17,2:46,356662,Full
1911/6/26,2:48,357570,New
1912/1/4,13:41,356375,Full
1912/8/12,9:27,357492,New
1913/2/21,0:09,356609,Full
1913/9/29,17:49,357493,New
1914/4/10,9:59,356849,Full
1914/10/19,15:33,357112,New
1915/5/28,17:25,356925,Full
1915/12/7,1:05,356840,New
1916/7/15,0:20,357156,Full
1917/1/23,12:22,356838,New
1917/9/1,7:55,356922,Full
1918/3/12,22:38,356788,New
1918/10/19,16:07,356760,Full
1919/4/30,7:13,357165,New
1919/12/7,2:46,356785,Full
1920/6/16,15:04,357255,New
1921/1/23,13:43,356728,Full
1921/8/3,21:38,357145,New
1922/2/12,11:05,356888,Full
1922/9/21,5:27,357120,New
1923/4/1,21:27,357028,Full
1923/11/8,14:51,356717,New
1924/5/19,5:26,357027,Full
1924/12/26,1:06,356679,New
1925/7/6,12:26,357259,Full
1926/2/12,12:20,356863,New
1926/8/23,19:49,357055,Full
1927/4/1,21:42,356991,New
1927/10/11,3:28,356783,Full
1928/5/19,5:33,357418,New
1928/11/27,13:32,356676,Full
1929/7/6,12:57,357420,New
1930/1/15,0:32,356396,Full
1930/8/23,19:44,357306,New
1931/3/4,10:50,356640,Full
1931/10/11,4:24,357279,New
1932/4/20,20:20,356855,Full
1932/11/27,14:31,357002,New
1933/6/8,3:30,356900,Full
1933/12/17,11:56,356946,New
1934/7/26,10:27,357089,Full
1935/2/3,23:15,356953,New
1935/9/12,18:13,356814,Full
1936/3/23,9:14,356911,New
1936/10/30,2:44,356641,Full
1937/5/10,17:32,357269,New
1937/12/17,13:39,356664,Full
1938/6/28,1:12,357311,New
1939/2/4,0:33,356617,Full
1939/8/15,7:48,357161,New
1940/3/23,10:11,357060,Full
1940/10/1,15:53,357096,New
1941/4/12,7:58,357226,Full
1941/11/19,1:34,356676,New
1942/5/30,15:39,357204,Full
1943/1/6,11:58,356658,New
1943/7/17,22:33,357397,Full
1944/2/23,23:05,356846,New
1944/9/3,6:02,357148,Full
1945/4/12,8:07,356965,New
1945/10/21,13:59,356851,Full
1946/5/30,15:44,357356,New
1946/12/9,0:22,356729,Full
1947/7/17,23:06,357306,New
1948/1/26,11:24,356459,Full
1948/9/3,6:02,357156,New
1949/3/14,21:28,356712,Full
1949/10/21,15:02,357103,New
1950/5/2,6:38,356898,Full
1950/12/9,1:23,356830,New
1951/6/19,13:36,356911,Full
1952/1/26,11:59,357089,New
1952/8/5,20:34,357058,Full
1953/2/14,10:06,357110,New
1953/9/23,4:33,356744,Full
1954/4/3,19:45,357074,New
1954/11/10,13:25,356563,Full
1955/5/22,3:48,357408,New
1955/12/29,0:33,356585,Full
1956/7/8,11:19,357401,New
1957/2/14,11:19,356549,Full
1957/8/25,18:00,357210,New
1958/4/3,20:39,356980,Full
1958/10/13,2:22,357108,New
1959/5/22,4:57,357148,Full
1959/11/30,12:20,356675,New
1960/7/8,11:28,357161,Full
1961/1/16,22:51,356678,New
1961/8/25,18:49,357254,Full
1962/3/6,9:46,356867,New
1962/10/13,3:29,356945,Full
1963/4/23,18:28,356972,New
1963/11/2,0:34,356955,Full
1964/6/10,1:54,357325,New
1964/12/19,11:15,356822,Full
1965/7/28,9:14,357223,New
1966/2/5,22:14,356563,Full
1966/9/14,16:22,357041,New
1967/3/26,8:02,356821,Full
1967/11/2,1:42,356966,New
1968/5/12,16:53,356978,Full
1968/12/19,12:16,356699,New
1969/6/29,23:40,356957,Full
1970/2/5,22:49,356980,New
1970/8/17,6:43,357060,Full
1971/3/26,8:59,357278,New
1971/10/4,14:57,356708,Full
1972/4/14,6:16,357271,New
1972/11/21,0:09,356522,Full
1973/6/1,14:03,357579,New
1974/1/8,11:27,356546,Full
1974/7/19,21:29,357523,New
1975/2/25,22:01,356518,Full
1975/9/6,4:16,357294,New
1976/4/14,7:04,356936,Full
1976/10/23,12:55,357158,New
1977/6/1,15:06,357060,Full
1977/12/10,23:09,356718,New
1978/7/19,21:35,357037,Full
1979/1/28,9:43,356743,New
1979/9/6,5:08,357093,Full
1980/3/16,20:23,356928,New
1980/10/23,14:06,356761,Full
1981/5/4,4:46,357017,New
1981/12/11,0:07,356788,Full
1982/6/21,12:03,357328,New
1982/12/30,22:10,356955,Full
1983/8/8,19:23,357175,New
1984/2/17,9:04,356708,Full
1984/9/25,2:44,356962,New
1985/4/5,18:34,356970,Full
1985/11/12,12:25,356870,New
1986/5/24,3:07,357094,Full
1986/12/30,23:08,356613,New
1987/7/11,9:46,357040,Full
1988/2/17,9:36,356912,New
1988/8/27,16:55,357100,Full
1989/4/5,19:27,357189,New
1989/10/15,1:25,356712,Full
1990/5/24,2:55,357337,New
1990/12/2,10:56,356525,Full
1991/7/11,9:58,357596,New
1992/1/19,22:20,356549,Full
1992/8/27,17:31,357367,New
1993/3/8,8:40,356528,Full
1993/10/15,1:41,357239,New
1994/4/25,17:23,356929,Full
1994/11/3,23:33,357243,New
1995/6/13,1:13,357010,Full
1995/12/22,10:00,356801,New
1996/7/30,7:41,356950,Full
1997/2/7,20:34,356850,New
1997/9/16,15:28,356967,Full
1998/3/28,6:58,357027,New
1998/11/4,0:45,356616,Full
1999/5/15,15:01,357095,New
1999/12/22,11:01,356656,Full
2000/7/1,22:10,357364,New
2001/2/7,22:23,356855,Full
2001/8/19,5:34,357158,New
2002/2/27,19:50,356893,Full
2002/10/6,13:11,356918,New
2003/4/17,5:02,357153,Full
2003/11/23,23:10,356811,New
2004/6/3,13:18,357243,Full
2005/1/10,10:01,356569,New
2005/7/21,19:51,357155,Full
2006/2/27,20:19,356883,New
2006/9/8,3:10,357173,Full
2007/4/17,5:52,357135,New
2007/10/26,11:57,356751,Full
2008/6/3,13:06,357249,New
2008/12/12,21:46,356564,Full
2009/7/21,20:08,357460,New
2010/1/30,9:12,356592,Full
2010/9/8,3:52,357187,New
2011/3/19,19:15,356574,Full
2011/10/26,12:20,357048,New
2012/5/6,3:40,356955,Full
2012/12/12,23:08,357071,New
2013/6/23,11:18,356991,Full
2014/1/1,20:53,356926,New
2014/8/10,17:49,356896,Full
2015/2/19,7:23,356998,New
2015/9/28,1:52,356878,Full
2016/4/7,17:30,357166,New
2016/11/14,11:28,356510,Full
2017/5/26,1:15,357210,New
2018/1/1,21:56,356567,Full
2018/7/13,8:19,357433,New
2019/2/19,9:10,356763,Full
2019/8/30,15:47,357178,New
2020/4/7,18:15,356909,Full
2020/10/16,23:40,356913,New
2021/5/26,1:57,357314,Full
2021/12/4,9:58,356795,New
2022/7/13,9:12,357267,Full
2023/1/21,20:51,356569,New
2023/8/30,16:01,357185,Full
2024/3/10,6:58,356895,New
2024/10/17,0:58,357179,Full
2025/4/27,16:12,357118,New
2025/11/5,22:34,356830,Full
2026/6/14,23:14,357195,New
2026/12/24,8:38,356648,Full
2027/8/2,6:19,357359,New
2028/2/10,20:02,356677,Full
2028/9/18,14:14,357044,New
2029/3/30,5:47,356661,Full
2029/11/5,23:02,356897,New
2030/5/17,13:55,357017,Full
2030/12/24,10:03,356924,New
2031/7/4,21:24,357009,Full
2032/2/10,20:42,356945,New
2032/8/21,3:58,356879,Full
2033/3/1,18:10,357186,New
2033/10/8,12:19,356826,Full
2034/4/19,3:58,357340,New
2034/11/25,22:13,356446,Full
2035/6/6,11:28,357358,New
2036/1/13,8:49,356518,Full
2036/7/23,18:28,357535,New
2037/3/1,19:52,356709,Full
2037/9/10,2:04,357230,New
2038/4/19,4:37,356839,Full
2038/10/28,10:14,356944,New
2039/6/6,12:06,357207,Full
2039/12/15,20:49,356818,New
2040/7/23,19:19,357113,Full
2041/2/1,7:41,356609,New
2041/9/10,2:21,357003,Full
2042/3/21,17:34,356943,New
2042/10/28,11:38,356978,Full
2043/5/9,2:30,357135,New
2043/12/15,22:09,356772,Full
2044/6/25,9:21,357175,New
2045/1/3,19:33,356770,Full
2045/8/12,16:30,357291,New
2046/2/21,6:51,356801,Full
2046/9/30,0:39,356936,New
2047/4/10,16:15,356783,Full
2047/11/17,9:46,356786,New
2048/5/28,0:07,357114,Full
2049/1/3,20:57,356818,New
2049/7/15,7:29,357059,Full
2050/2/21,7:26,356853,New
2050/9/1,14:11,356894,Full
2051/4/10,16:33,357335,New
2051/10/19,22:50,356809,Full
2052/5/28,0:38,357491,New
2052/12/6,9:01,356421,Full
2053/7/15,7:09,357521,New
2054/1/23,19:41,356511,Full
2054/9/1,14:46,357578,New
2055/3/13,6:30,356694,Full
2055/10/19,23:36,357253,New
2056/4/29,14:55,356807,Full
2056/11/7,20:52,357014,New
2057/6/16,22:14,357136,Full
2057/12/26,7:42,356884,New
2058/8/4,5:28,356995,Full
2059/2/12,18:30,356693,New
2059/9/21,12:43,356860,Full
2060/4/1,4:06,357029,New
2060/11/7,22:22,356817,Full
2061/5/19,12:44,357187,New
2061/12/26,9:03,356620,Full
2062/7/6,19:28,357189,New
2063/1/15,6:28,356934,Full
2063/8/24,2:43,357257,New
2064/3/3,17:38,356967,Full
2064/10/10,11:07,356866,New
